n	LCG-diff	LCG-time-mus	MT19937-diff	MT19937-time-mus
10	0.341593	38	0.0584073	80413
10	0.0584073	9	0.341593	8
10	0.458407	8	0.341593	8
10	0.0584073	8	0.741593	8
10	0.0584073	8	0.341593	8
10	0.341593	15	0.0584073	8
10	0.0584073	8	0.458407	8
10	0.458407	8	0.858407	8
10	0.458407	8	0.0584073	8
10	0.341593	8	0.0584073	8
50	0.138407	46	0.0215927	46
50	0.218407	42	0.0584073	40
50	0.0215927	42	0.138407	40
50	0.218407	42	0.218407	46
50	0.138407	42	0.0215927	40
50	0.181593	41	0.261593	40
50	0.0584073	41	0.0215927	40
50	0.218407	41	0.218407	46
50	0.0584073	41	0.0584073	40
50	0.298407	41	0.0584073	40
250	0.0104073	232	0.117593	214
250	0.133593	209	0.0744073	217
250	0.101593	214	0.0855927	212
250	0.133593	214	0.106407	219
250	0.0375927	213	0.106407	213
250	0.0104073	214	0.266407	219
250	0.133593	221	0.0855927	215
250	0.0744073	209	0.0695927	208
250	0.186407	209	0.00559265	215
250	0.00559265	209	0.0424073	208
1250	0.0695927	1165	0.0439927	1058
1250	0.00400735	1044	0.0119927	1059
1250	0.0919927	1049	0.0471927	1086
1250	0.0104073	1138	0.0936073	1090
1250	0.0968073	1141	0.0200073	1101
1250	0.00720735	1172	0.0680073	1096
1250	0.00879265	1210	0.0567927	1159
1250	0.00879265	1134	0.00559265	1150
1250	0.00400735	1148	0.00239265	1120
1250	0.0520073	1139	0.0887927	1105
6250	0.00111265	6266	0.00464735	5679
6250	0.00144735	5561	0.0219273	5528
6250	0.0324727	5557	0.0104073	5833
6250	0.00464735	5639	0.00464735	5908
6250	0.00848735	5688	0.0215927	5781
6250	0.00239265	5723	0.00367265	5777
6250	0.00464735	5796	0.00559265	5659
6250	0.0292727	5524	0.0136073	5968
6250	0.00272735	6149	0.00559265	5784
6250	0.0289673	5789	0.0132727	5651
31250	3.93464e-05	31605	0.00815265	29728
31250	0.00208735	29492	0.00439135	28834
31250	0.00572065	28340	0.000679346	29031
31250	0.00764065	30627	0.0118647	32424
31250	0.0141687	33355	0.00221535	35652
31250	0.0161673	31194	3.93464e-05	32387
31250	0.0103287	31305	0.00439135	31612
31250	0.000167346	43667	0.00597665	39080
31250	0.0121207	31673	0.00264865	33228
31250	0.00208735	32839	3.93464e-05	33334
156250	0.00781985	161891	0.00147295	163354
156250	0.00136865	157429	0.000293454	185519
156250	0.00426335	177808	0.00182945	181833
156250	0.00129185	190864	0.00541535	199632
156250	0.00242015	193299	0.00646495	211575
156250	0.00377505	194282	0.00485025	204899
156250	0.00587615	203719	0.00269985	206483
156250	0.000218546	190991	9.05464e-05	219872
156250	0.00771935	227795	0.00403295	206253
156250	0.00385375	196238	0.00121505	217418
781250	0.00177313	848323	0.00403295	916369
781250	0.00300895	861121	0.00269151	1.02792e+06
781250	0.00209759	987649	0.00120993	1.04407e+06
781250	0.00422751	1.09378e+06	0.000648626	1.14214e+06
781250	0.000559694	1.14837e+06	2.72136e-05	1.13265e+06
781250	0.000474546	1.12939e+06	0.000784974	1.15294e+06
781250	0.00165727	1.17589e+06	0.00137377	1.12815e+06
781250	0.00168609	1.10787e+06	0.00195233	1.14503e+06
781250	0.00109217	1.1005e+06	0.000285106	1.15534e+06
781250	0.000454066	1.11783e+06	0.00224929	1.10256e+06
3906250	0.00121387	4.32794e+06	0.000243122	4.56281e+06
3906250	0.00125192	4.45364e+06	0.000709042	5.17964e+06
3906250	0.000173646	5.12706e+06	0.00114645	5.26707e+06
3906250	0.000196174	5.59254e+06	0.000616014	5.72506e+06
3906250	0.00109407	5.68054e+06	0.00103263	5.73376e+06
3906250	0.000406094	5.699e+06	0.000472654	6.10205e+06
3906250	0.0011444	5.94121e+06	0.000959054	6.21155e+06
3906250	0.000916914	5.90257e+06	0.00030661	5.90804e+06
3906250	0.000310706	5.65204e+06	0.00144136	5.69766e+06
3906250	7.22696e-05	5.53785e+06	0.000845234	5.71614e+06
